"","average_stand_diameter","average_stand_diameter_gt15_mean","average_stand_diameter_gt20_mean","average_stand_length","average_stand_length_gt200_mean","average_stand_length_gt250_mean","stand_age","old_grow_indicator","old_grow_indicator_ratio","old_grow_indicator_agesum","stand_basal_area","canopy_cover_whole_stand","canopy_cover_whole_stand_gt60_mean","canopy_cover_broadleaves","volume_total_wood","volume_spruce_gt150","tree_extent","tree_height_mean","tree_height_max","tree_height_stdev","tree_remove"
"stand_basal_area",0.854269987915352,0.665451999603961,0.233193398449472,0.948877119258624,0.239920938473212,0.286934507956308,-0.234616318670017,-0.199175175658728,-0.278668879609046,-0.270990141134655,1,0.92200938006669,0.534938080253098,0.449587928290661,0.960184548058526,0.633526432321277,0.0937091514129866,0.874233149271053,0.821411387095911,0.512229599145912,0.0935788249054537
"canopy_cover_whole_stand",0.719422208974538,0.531763630194815,0.14762779075575,0.869983868869316,0.223628798249375,0.262141211039369,-0.399916005518091,-0.216677543019057,-0.331745823447923,-0.335840433929164,0.92200938006669,1,0.613966482463325,0.642034360057892,0.892235137400215,0.709914973872768,0.0482000424093275,0.770390615411448,0.806926962603514,0.531265192697307,0.096339484849567
"canopy_cover_whole_stand_gt60_mean",0.423403266316375,0.390486999081215,0.181602286162838,0.526442146894694,0.0460926456914947,0.0565436125536028,-0.235412226723242,-0.123848671538174,-0.144323246795758,-0.126755501281382,0.534938080253098,0.613966482463325,1,0.482389098035673,0.564631633454031,0.404442673689113,0.0396225553075908,0.452370984072404,0.440871745403085,0.229513231802834,0.0251625706355579
"canopy_cover_broadleaves",0.214600780221102,0.153872914917841,-0.0122740203139202,0.40850535776541,0.0635578970147002,0.0502483531771838,-0.536148638154981,-0.212625116230282,-0.142558350560406,-0.213156188618386,0.449587928290661,0.642034360057892,0.482389098035673,1,0.50645757217077,0.44262418281154,-0.0834662804991078,0.325323552770411,0.513358524547455,0.421236529801929,0.0485811465037877
"volume_total_wood",0.840222838055277,0.698847952689093,0.272154769292923,0.955820398911639,0.181228641054168,0.218863512336764,-0.301963613598341,-0.220506975044124,-0.276651164365584,-0.26183617278063,0.960184548058526,0.892235137400215,0.564631633454031,0.50645757217077,1,0.662514687199283,0.0661138108696253,0.840125369214056,0.877247567224573,0.616302446042877,0.105057598064789
"volume_spruce_gt150",0.475062342268195,0.395571786793849,0.0812683445988147,0.611762555842081,0.108118558852738,0.129194474636466,-0.400547872156117,-0.144438812568733,-0.321407493351135,-0.26034220155942,0.633526432321277,0.709914973872768,0.404442673689113,0.44262418281154,0.662514687199283,1,0.0632248105353216,0.512922984442602,0.707001733698055,0.550179316813993,0.114915161511765
"tree_extent",0.119603097186785,0.0782185680982272,0.00236217237358372,0.0930616889934159,0.0503324737161283,0.0606743810112483,0.103357268360547,0.0664171946516686,-0.117617285228745,0.253247041948746,0.0937091514129866,0.0482000424093275,0.0396225553075908,-0.0834662804991078,0.0661138108696253,0.0632248105353216,1,0.154095081434172,0.0801909900770715,-0.021817597374506,0.344413037945524
"tree_height_mean",0.759042643189684,0.605211148576399,0.220639729444991,0.846402814973314,0.192156622134018,0.223773587559085,-0.170616381934545,-0.196809540458847,-0.248321624579419,-0.216907787164711,0.874233149271053,0.770390615411448,0.452370984072404,0.325323552770411,0.840125369214056,0.512922984442602,0.154095081434172,1,0.751105317176978,0.295824873971217,0.0885929875245196
"tree_height_max",0.633213171640705,0.526246750816679,0.125554022822773,0.811996819588095,0.195160501155531,0.225393342428556,-0.486449558609512,-0.227275156716756,-0.388491595064837,-0.323517302793385,0.821411387095911,0.806926962603514,0.440871745403085,0.513358524547455,0.877247567224573,0.707001733698055,0.0801909900770715,0.751105317176978,1,0.750158810952321,0.146975016349239
"tree_height_stdev",0.394542384912859,0.317110578768439,0.0106400706567227,0.537183283427257,0.191321481466289,0.221469180392314,-0.438337064771945,-0.166176242941003,-0.30249522685502,-0.236193434148927,0.512229599145912,0.531265192697307,0.229513231802834,0.421236529801929,0.616302446042877,0.550179316813993,-0.021817597374506,0.295824873971217,0.750158810952321,1,0.162739421043385
"tree_remove",0.0661461761521081,0.052210781752061,-0.0161382499071674,0.0956966332621057,0.0296138734991836,0.0362837456898394,-0.0895769558677657,0.0038687519435823,-0.11615814469902,-0.0195855349754573,0.0935788249054537,0.096339484849567,0.0251625706355579,0.0485811465037877,0.105057598064789,0.114915161511765,0.344413037945524,0.0885929875245196,0.146975016349239,0.162739421043385,1
